,location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
30,3394396,Nairobi CMR,pm25,30.5,µg/m³,2025-03-14T18:00:00Z,2025-03-14T21:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
31,3394396,Nairobi CMR,pm25,30.1,µg/m³,2025-03-14T19:00:00Z,2025-03-14T22:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
32,3394396,Nairobi CMR,pm25,34.2,µg/m³,2025-03-14T20:00:00Z,2025-03-14T23:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
33,3394396,Nairobi CMR,pm25,39.6,µg/m³,2025-03-14T21:00:00Z,2025-03-15T00:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
34,3394396,Nairobi CMR,pm25,26.2,µg/m³,2025-03-14T22:00:00Z,2025-03-15T01:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
35,3394396,Nairobi CMR,pm25,25.6,µg/m³,2025-03-14T23:00:00Z,2025-03-15T02:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
36,3394396,Nairobi CMR,pm25,33.2,µg/m³,2025-03-15T00:00:00Z,2025-03-15T03:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
37,3394396,Nairobi CMR,pm25,28.3,µg/m³,2025-03-15T01:00:00Z,2025-03-15T04:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
38,3394396,Nairobi CMR,pm25,26.2,µg/m³,2025-03-15T02:00:00Z,2025-03-15T05:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
39,3394396,Nairobi CMR,pm25,24.4,µg/m³,2025-03-15T03:00:00Z,2025-03-15T06:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
40,3394396,Nairobi CMR,pm25,34.0,µg/m³,2025-03-15T04:00:00Z,2025-03-15T07:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
41,3394396,Nairobi CMR,pm25,38.9,µg/m³,2025-03-15T05:00:00Z,2025-03-15T08:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
42,3394396,Nairobi CMR,pm25,25.7,µg/m³,2025-03-15T06:00:00Z,2025-03-15T09:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
43,3394396,Nairobi CMR,pm25,25.4,µg/m³,2025-03-15T07:00:00Z,2025-03-15T10:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
44,3394396,Nairobi CMR,pm25,22.7,µg/m³,2025-03-15T08:00:00Z,2025-03-15T11:00:00+03:00,Africa/Nairobi,-1.232511,36.81732,,,,Unknown Governmental Organization,AirNow
